Census year,Block ID,CLUE small area,Seating type,Number of seats,Longitude,Latitude
2014,247,Carlton,Seats - Indoor,70,144.9672175,-37.80175883
2007,23,Melbourne (CBD),Seats - Outdoor,12,144.960828,-37.81804753
2024,430,West Melbourne (Residential),Seats - Indoor,16,144.9486329,-37.80883464
2013,25,Melbourne (CBD),Seats - Indoor,32,144.9654744,-37.81664469
2023,1105,Docklands,Seats - Indoor,55,144.9500913,-37.82068417
2017,346,North Melbourne,Seats - Outdoor,12,144.9494609,-37.8024571
2011,34,Melbourne (CBD),Seats - Outdoor,90,144.9621844,-37.81615528
2015,377,North Melbourne,Seats - Outdoor,6,144.954319,-37.79972971
2021,1101,Docklands,Seats - Indoor,20,144.951187,-37.81501701
2018,252,Carlton,Seats - Indoor,30,144.9666993,-37.80443778
2024,57,Melbourne (CBD),Seats - Indoor,15,144.9687387,-37.81235798
2019,31,Melbourne (CBD),Seats - Outdoor,18,144.9543505,-37.81867545
2009,22,Melbourne (CBD),Seats - Outdoor,20,144.9571409,-37.81874137
2010,24,Melbourne (CBD),Seats - Outdoor,12,144.9638971,-37.81719967
2011,242,Carlton,Seats - Indoor,200,144.961518,-37.80117842
2008,77,Melbourne (CBD),Seats - Indoor,40,144.9686493,-37.80946476
2019,84,Melbourne (CBD),Seats - Outdoor,4,144.9598612,-37.81146107
2010,35,Melbourne (CBD),Seats - Outdoor,6,144.9656034,-37.81483458
2018,1108,Docklands,Seats - Indoor,16,144.9425059,-37.82059451
2020,928,Parkville,Seats - Outdoor,20,144.9400724,-37.78124103
2007,252,Carlton,Seats - Outdoor,22,144.9667087,-37.80443919
2011,226,Carlton,Seats - Indoor,23,144.9711745,-37.79523278
2007,613,East Melbourne,Seats - Indoor,66,144.9841247,-37.80970763
2020,2523,Kensington,Seats - Indoor,54,144.9287638,-37.79405714
2019,861,South Yarra,Seats - Indoor,60,144.9822675,-37.8343508
2019,61,Melbourne (CBD),Seats - Outdoor,10,144.9535256,-37.81537495
2015,441,West Melbourne (Residential),Seats - Indoor,90,144.9492503,-37.80956913
2019,47,Melbourne (CBD),Seats - Indoor,24,144.9701092,-37.81281454
2016,377,North Melbourne,Seats - Outdoor,4,144.9540103,-37.79937005
2004,35,Melbourne (CBD),Seats - Indoor,25,144.9642031,-37.81557747
2005,216,Carlton,Seats - Indoor,4,144.9696738,-37.79771073
2014,12,Melbourne (CBD),Seats - Indoor,56,144.9586012,-37.81946849
2014,651,East Melbourne,Seats - Indoor,60,144.9773405,-37.81154319
2020,1110,Docklands,Seats - Indoor,6,144.9378573,-37.81317061
2021,747,Southbank,Seats - Indoor,40,144.9679591,-37.82998247
2002,33,Melbourne (CBD),Seats - Outdoor,12,144.9600988,-37.81638953
2020,11,Melbourne (CBD),Seats - Indoor,70,144.9551524,-37.82020482
2023,785,Port Melbourne,Seats - Indoor,4,144.9052382,-37.82481657
2021,31,Melbourne (CBD),Seats - Indoor,14,144.9549054,-37.81802782
2017,424,West Melbourne (Residential),Seats - Indoor,60,144.9513664,-37.80562951
2024,71,Melbourne (CBD),Seats - Indoor,20,144.9529546,-37.81437529
2023,21,Melbourne (CBD),Seats - Indoor,10,144.9557275,-37.81902044
2021,1101,Docklands,Seats - Indoor,150,144.9541587,-37.82020557
2017,55,Melbourne (CBD),Seats - Outdoor,70,144.9632879,-37.81360425
2017,503,Kensington,Seats - Indoor,28,144.9303643,-37.79956857
2002,43,Melbourne (CBD),Seats - Outdoor,40,144.9601981,-37.81547404
2012,27,Melbourne (CBD),Seats - Indoor,36,144.9707498,-37.81492031
2021,252,Carlton,Seats - Indoor,100,144.9667447,-37.80359309
2005,68,Melbourne (CBD),Seats - Outdoor,11,144.9707243,-37.81005822
2007,724,Melbourne (Remainder),Seats - Outdoor,30,144.9803877,-37.84685436
2021,115,Melbourne (CBD),Seats - Indoor,24,144.9620907,-37.80728963
2023,205,Carlton,Seats - Outdoor,24,144.9652584,-37.7987209
2013,38,Melbourne (CBD),Seats - Indoor,12,144.9731836,-37.81260039
2024,1102,Docklands,Seats - Outdoor,19,144.9449612,-37.81396231
2012,375,North Melbourne,Seats - Indoor,60,144.9544611,-37.80204173
2014,746,Southbank,Seats - Outdoor,16,144.9662961,-37.83070462
2017,759,Melbourne (Remainder),Seats - Indoor,60,144.9775355,-37.83909862
2017,17,Melbourne (CBD),Seats - Indoor,80,144.9698799,-37.81579783
2019,357,North Melbourne,Seats - Outdoor,8,144.9543386,-37.80537801
2012,226,Carlton,Seats - Indoor,38,144.9711405,-37.79543508
2009,346,North Melbourne,Seats - Indoor,35,144.9484758,-37.80271264
2024,742,Southbank,Seats - Indoor,30,144.9679694,-37.82843322
2012,218,Carlton,Seats - Outdoor,36,144.9674164,-37.79978612
2019,58,Melbourne (CBD),Seats - Outdoor,20,144.9713242,-37.81131159
2018,2524,Kensington,Seats - Indoor,19,144.9293153,-37.79409415
2014,613,East Melbourne,Seats - Outdoor,34,144.9856254,-37.81004657
2018,38,Melbourne (CBD),Seats - Indoor,60,144.9727083,-37.81342593
2014,61,Melbourne (CBD),Seats - Indoor,40,144.9549691,-37.81538904
2024,35,Melbourne (CBD),Seats - Indoor,30,144.9642254,-37.81528948
2021,55,Melbourne (CBD),Seats - Indoor,54,144.9638295,-37.81344503
2007,26,Melbourne (CBD),Seats - Outdoor,90,144.9674398,-37.8158491
2015,786,Port Melbourne,Seats - Indoor,100,144.920481,-37.82477016
2011,252,Carlton,Seats - Indoor,55,144.9666993,-37.80443778
2006,257,Carlton,Seats - Indoor,6,144.9610824,-37.80239397
2018,46,Melbourne (CBD),Seats - Indoor,100,144.9681892,-37.81367486
2023,356,North Melbourne,Seats - Indoor,70,144.9536735,-37.80422555
2011,33,Melbourne (CBD),Seats - Indoor,80,144.960452,-37.8162783
2016,655,East Melbourne,Seats - Outdoor,16,144.9763456,-37.81660854
2010,218,Carlton,Seats - Outdoor,46,144.9674735,-37.79932164
2023,931,Parkville,Seats - Indoor,32,144.949547,-37.79372054
2012,1108,Docklands,Seats - Indoor,20,144.9451224,-37.81888389
2003,207,Carlton,Seats - Indoor,134,144.9671874,-37.79750965
2008,58,Melbourne (CBD),Seats - Indoor,65,144.970934,-37.81125692
2020,1108,Docklands,Seats - Outdoor,34,144.943969,-37.81927362
2005,931,Parkville,Seats - Indoor,16,144.9476414,-37.7854203
2024,345,North Melbourne,Seats - Outdoor,18,144.9490475,-37.80390823
2008,255,Carlton,Seats - Outdoor,8,144.9642948,-37.80444614
2004,801,Southbank,Seats - Indoor,48,144.9638838,-37.82193722
2018,270,Parkville,Seats - Outdoor,40,144.9612585,-37.79738769
2012,77,Melbourne (CBD),Seats - Indoor,40,144.9686493,-37.80946476
2009,38,Melbourne (CBD),Seats - Indoor,40,144.9735468,-37.81304887
2012,57,Melbourne (CBD),Seats - Indoor,50,144.9699123,-37.81128986
2021,1110,Docklands,Seats - Indoor,54,144.9367522,-37.81174834
2004,246,Carlton,Seats - Outdoor,40,144.9666819,-37.8008985
2004,787,Port Melbourne,Seats - Indoor,23,144.9194713,-37.82904887
2018,852,Melbourne (Remainder),Seats - Outdoor,75,144.975496,-37.82969777
2018,254,Carlton,Seats - Outdoor,12,144.9659498,-37.80467681
2021,33,Melbourne (CBD),Seats - Indoor,34,144.959442,-37.81730302
2010,375,North Melbourne,Seats - Indoor,60,144.9544611,-37.80204173
2012,46,Melbourne (CBD),Seats - Outdoor,36,144.9675807,-37.8139078
2010,28,Melbourne (CBD),Seats - Indoor,16,144.9726281,-37.81430616
2013,38,Melbourne (CBD),Seats - Outdoor,9,144.9724886,-37.81292259
2004,785,Port Melbourne,Seats - Outdoor,10,144.906514,-37.82410059
2021,113,Melbourne (CBD),Seats - Indoor,12,144.9572055,-37.80765748
2005,710,Melbourne (Remainder),Seats - Outdoor,60,144.9757292,-37.8354848
2018,523,Kensington,Seats - Indoor,42,144.9301099,-37.79467114
2003,811,Southbank,Seats - Indoor,40,144.9637382,-37.8240948
2010,15,Melbourne (CBD),Seats - Indoor,6,144.965095,-37.8176365
2012,808,Southbank,Seats - Outdoor,10,144.9605087,-37.8252468
2024,34,Melbourne (CBD),Seats - Outdoor,6,144.9624391,-37.81585501
2012,243,Carlton,Seats - Outdoor,40,144.9636423,-37.8006201
2013,67,Melbourne (CBD),Seats - Outdoor,6,144.96826,-37.81079362
2019,748,Southbank,Seats - Indoor,33,144.9702153,-37.82981139
2003,77,Melbourne (CBD),Seats - Outdoor,18,144.9673791,-37.81056876
2018,35,Melbourne (CBD),Seats - Indoor,7,144.9661258,-37.81528474
2015,1103,Docklands,Seats - Indoor,60,144.9493733,-37.81733574
2012,113,Melbourne (CBD),Seats - Outdoor,36,144.9572395,-37.80745984
2013,226,Carlton,Seats - Outdoor,4,144.9711594,-37.79532263
2014,47,Melbourne (CBD),Seats - Indoor,28,144.9701092,-37.81281454
2006,656,East Melbourne,Seats - Outdoor,4,144.9799931,-37.81680896
2008,67,Melbourne (CBD),Seats - Indoor,28,144.9694844,-37.81044353
2010,14,Melbourne (CBD),Seats - Outdoor,20,144.9625299,-37.81819275
2024,739,Southbank,Seats - Indoor,47,144.967545,-37.82519306
2007,724,Melbourne (Remainder),Seats - Indoor,8,144.9798285,-37.84553928
2016,35,Melbourne (CBD),Seats - Indoor,52,144.9645669,-37.81567363
2023,264,Carlton,Seats - Outdoor,8,144.961948,-37.80568588
2011,52,Melbourne (CBD),Seats - Indoor,18,144.9576141,-37.81525715
2012,85,Melbourne (CBD),Seats - Indoor,180,144.9630189,-37.81073332
2003,920,Parkville,Seats - Indoor,25,144.955828,-37.79859221
2023,13,Melbourne (CBD),Seats - Indoor,23,144.9611339,-37.81848797
2015,257,Carlton,Seats - Outdoor,16,144.9608587,-37.8037076
2024,360,North Melbourne,Seats - Indoor,80,144.9564599,-37.80519937
2016,25,Melbourne (CBD),Seats - Indoor,16,144.965606,-37.81660463
2012,76,Melbourne (CBD),Seats - Indoor,100,144.9657034,-37.810658
2010,45,Melbourne (CBD),Seats - Indoor,25,144.9640121,-37.81488175
2018,232,Carlton,Seats - Indoor,60,144.9749221,-37.79568657
2006,76,Melbourne (CBD),Seats - Indoor,22,144.9657128,-37.81065936
2023,774,Port Melbourne,Seats - Outdoor,24,144.9309535,-37.82210926
2012,353,North Melbourne,Seats - Indoor,50,144.9502701,-37.79681785
2022,303,North Melbourne,Seats - Indoor,58,144.9466961,-37.79358682
2017,741,Southbank,Seats - Indoor,3,144.9671699,-37.82656258
2011,17,Melbourne (CBD),Seats - Indoor,48,144.9701585,-37.81573536
2015,24,Melbourne (CBD),Seats - Indoor,52,144.9624418,-37.81728433
2003,42,Melbourne (CBD),Seats - Outdoor,12,144.9566783,-37.81651564
2021,1105,Docklands,Seats - Indoor,93,144.9494345,-37.82089145
2007,77,Melbourne (CBD),Seats - Indoor,80,144.9675835,-37.81012788
2005,334,North Melbourne,Seats - Indoor,4,144.9448044,-37.80234719
2002,559,Kensington,Seats - Indoor,22,144.9194549,-37.79170926
2020,354,North Melbourne,Seats - Outdoor,6,144.9496466,-37.80471334
2016,212,Carlton,Seats - Indoor,30,144.9696409,-37.7941425
2004,66,Melbourne (CBD),Seats - Indoor,38,144.9672828,-37.81164593
2020,748,Southbank,Seats - Indoor,30,144.9695681,-37.83002436
2014,345,North Melbourne,Seats - Outdoor,25,144.9489789,-37.80488639
2003,931,Parkville,Seats - Indoor,200,144.9514439,-37.78428545
2024,753,Southbank,Seats - Indoor,220,144.9662623,-37.82066924
2014,710,Melbourne (Remainder),Seats - Indoor,8,144.9762096,-37.836275
2002,24,Melbourne (CBD),Seats - Outdoor,32,144.9620163,-37.81714574
2022,57,Melbourne (CBD),Seats - Indoor,150,144.9690101,-37.81158808
2019,15,Melbourne (CBD),Seats - Outdoor,10,144.9663028,-37.81685974
2011,34,Melbourne (CBD),Seats - Outdoor,14,144.9629844,-37.81570426
2017,92,West Melbourne (Residential),Seats - Outdoor,24,144.9544344,-37.81045581
2002,1109,Docklands,Seats - Outdoor,76,144.9421486,-37.81434665
2009,710,Melbourne (Remainder),Seats - Outdoor,24,144.9755139,-37.83506751
2022,1108,Docklands,Seats - Outdoor,40,144.9429888,-37.81938143
2008,440,West Melbourne (Residential),Seats - Indoor,46,144.9497515,-37.80931286
2003,67,Melbourne (CBD),Seats - Outdoor,20,144.9689246,-37.81104436
2019,377,North Melbourne,Seats - Outdoor,19,144.953035,-37.8008985
2016,4,Melbourne (CBD),Seats - Indoor,48,144.9654427,-37.81872843
2023,64,Melbourne (CBD),Seats - Outdoor,32,144.9604697,-37.81352286
2005,319,North Melbourne,Seats - Indoor,10,144.9416715,-37.7968201
2015,33,Melbourne (CBD),Seats - Outdoor,38,144.95955,-37.81660734
2023,85,Melbourne (CBD),Seats - Outdoor,38,144.9630189,-37.81073332
2018,94,Melbourne (CBD),Seats - Indoor,35,144.9592776,-37.81067976
2002,51,Melbourne (CBD),Seats - Indoor,8,144.9548241,-37.81602037
2011,31,Melbourne (CBD),Seats - Indoor,6,144.9545688,-37.81861166
2008,358,North Melbourne,Seats - Indoor,52,144.9559672,-37.80395618
2019,131,Docklands,Seats - Outdoor,11,144.9536422,-37.82253633
2016,803,Southbank,Seats - Indoor,415,144.9586697,-37.82312301
2022,76,Melbourne (CBD),Seats - Indoor,10,144.9657034,-37.810658
2004,37,Melbourne (CBD),Seats - Outdoor,19,144.9693891,-37.8139859
2021,644,East Melbourne,Seats - Indoor,140,144.9735223,-37.80899046
2011,21,Melbourne (CBD),Seats - Indoor,175,144.95469,-37.81929312
2008,63,Melbourne (CBD),Seats - Indoor,20,144.9597543,-37.81355361
2019,1103,Docklands,Seats - Indoor,20,144.9475368,-37.81486994
2006,658,East Melbourne,Seats - Indoor,250,144.9858398,-37.82043869
2014,81,Melbourne (CBD),Seats - Indoor,60,144.9528962,-37.81327283
2007,101,West Melbourne (Residential),Seats - Indoor,50,144.951185,-37.81189241
2011,614,East Melbourne,Seats - Indoor,58,144.9840787,-37.81106468
2015,607,East Melbourne,Seats - Indoor,80,144.9855915,-37.81618515
2024,225,Carlton,Seats - Indoor,15,144.9710405,-37.7960463
2015,362,North Melbourne,Seats - Indoor,60,144.9584784,-37.80538132
2024,733,Southbank,Seats - Indoor,50,144.9582244,-37.8271138
2019,1006,West Melbourne (Industrial),Seats - Indoor,22,144.934267,-37.808954
2017,34,Melbourne (CBD),Seats - Indoor,40,144.9629844,-37.81570426
2023,11,Melbourne (CBD),Seats - Indoor,3,144.9566017,-37.81988484
2011,114,Melbourne (CBD),Seats - Indoor,18,144.9600075,-37.80806541
2024,15,Melbourne (CBD),Seats - Outdoor,12,144.9659028,-37.81706291
2013,724,Melbourne (Remainder),Seats - Outdoor,33,144.9798191,-37.8455379
2017,11,Melbourne (CBD),Seats - Indoor,28,144.9566017,-37.81988484
2022,58,Melbourne (CBD),Seats - Outdoor,10,144.9707333,-37.81151587
2011,26,Melbourne (CBD),Seats - Outdoor,12,144.9687553,-37.81543178
2022,931,Parkville,Seats - Indoor,32,144.9495471,-37.79372054
2018,113,Melbourne (CBD),Seats - Indoor,24,144.9572395,-37.80745984
2008,753,Southbank,Seats - Indoor,20,144.9662623,-37.82066922
2010,1109,Docklands,Seats - Indoor,8,144.9427543,-37.81473601
2002,72,Melbourne (CBD),Seats - Indoor,60,144.9560264,-37.81347798
2019,17,Melbourne (CBD),Seats - Indoor,100,144.9717262,-37.81546152
2013,95,Melbourne (CBD),Seats - Outdoor,5,144.9620743,-37.8090975
2018,226,Carlton,Seats - Outdoor,4,144.9711594,-37.79532263
2018,1109,Docklands,Seats - Outdoor,6,144.9429897,-37.81354367
2020,85,Melbourne (CBD),Seats - Indoor,12,144.9643593,-37.81143223
2020,47,Melbourne (CBD),Seats - Indoor,85,144.9701092,-37.81281454
2024,52,Melbourne (CBD),Seats - Indoor,75,144.9556966,-37.8156735
2002,257,Carlton,Seats - Indoor,140,144.9609254,-37.80243338
2008,42,Melbourne (CBD),Seats - Indoor,86,144.9578132,-37.81636534
2023,87,Melbourne (CBD),Seats - Outdoor,12,144.9688284,-37.80893166
2020,42,Melbourne (CBD),Seats - Outdoor,40,144.9578132,-37.81636534
2009,254,Carlton,Seats - Outdoor,32,144.9660865,-37.80384773
2009,361,North Melbourne,Seats - Outdoor,8,144.9573902,-37.80580455
2017,866,South Yarra,Seats - Indoor,12,144.9800012,-37.83804253
2017,67,Melbourne (CBD),Seats - Indoor,40,144.9695458,-37.81093839
2017,790,Port Melbourne,Seats - Outdoor,12,144.9095599,-37.82673488
2011,345,North Melbourne,Seats - Indoor,20,144.9489789,-37.80488639
2021,808,Southbank,Seats - Outdoor,16,144.961892,-37.8238227
2024,67,Melbourne (CBD),Seats - Indoor,45,144.9678627,-37.81093607
2022,773,Docklands,Seats - Indoor,34,144.9412743,-37.82354236
2017,1108,Docklands,Seats - Indoor,20,144.9452948,-37.81711584
2015,931,Parkville,Seats - Indoor,16,144.947632,-37.78541878
2021,66,Melbourne (CBD),Seats - Indoor,50,144.9670449,-37.81172076
2015,928,Parkville,Seats - Outdoor,6,144.9391831,-37.77625457
2017,809,Southbank,Seats - Indoor,28,144.9612732,-37.82576285
2021,85,Melbourne (CBD),Seats - Indoor,200,144.9639969,-37.81152964
2008,36,Melbourne (CBD),Seats - Outdoor,12,144.9672778,-37.81485585
2006,87,Melbourne (CBD),Seats - Indoor,50,144.968772,-37.80879476
2021,801,Southbank,Seats - Outdoor,75,144.9628914,-37.8210403
2018,646,East Melbourne,Seats - Outdoor,9,144.9778946,-37.80895362
2011,319,North Melbourne,Seats - Outdoor,13,144.9421193,-37.79717284
2024,35,Melbourne (CBD),Seats - Outdoor,14,144.9644661,-37.81529155
2010,773,Docklands,Seats - Outdoor,30,144.9463559,-37.82488025
2005,94,Melbourne (CBD),Seats - Outdoor,6,144.9592472,-37.8102505
2015,17,Melbourne (CBD),Seats - Indoor,80,144.9713925,-37.81542975
2015,217,Carlton,Seats - Indoor,10,144.9682099,-37.79746832
2023,773,Docklands,Seats - Indoor,24,144.9435506,-37.82438863
2009,377,North Melbourne,Seats - Indoor,20,144.9540008,-37.79936861
2024,660,Melbourne (Remainder),Seats - Indoor,70,144.9823854,-37.82487805
2022,439,West Melbourne (Residential),Seats - Indoor,180,144.952636,-37.80890193
2010,2381,North Melbourne,Seats - Indoor,30,144.9394706,-37.78876792
2022,1112,Docklands,Seats - Indoor,28,144.9525486,-37.82290353
2020,28,Melbourne (CBD),Seats - Outdoor,40,144.9726281,-37.81430616
2014,1103,Docklands,Seats - Outdoor,16,144.947217,-37.81817241
2011,571,Kensington,Seats - Indoor,21,144.9155212,-37.78257294
2014,84,Melbourne (CBD),Seats - Indoor,160,144.9605086,-37.81081439
2016,802,Southbank,Seats - Outdoor,2,144.9621634,-37.82167968
2019,17,Melbourne (CBD),Seats - Indoor,53,144.9701585,-37.81573536
2014,267,Carlton,Seats - Indoor,42,144.9664413,-37.80566982
2006,430,West Melbourne (Residential),Seats - Indoor,10,144.9486424,-37.80883606
2015,790,Port Melbourne,Seats - Indoor,24,144.9095599,-37.82673488
2022,801,Southbank,Seats - Indoor,55,144.9645668,-37.82166549
2018,502,West Melbourne (Industrial),Seats - Indoor,10,144.9168344,-37.80088137
2015,268,Carlton,Seats - Indoor,100,144.9685944,-37.80578725
2002,434,West Melbourne (Residential),Seats - Indoor,28,144.9547776,-37.80599981
2017,95,Melbourne (CBD),Seats - Indoor,180,144.961747,-37.80994879
2017,54,Melbourne (CBD),Seats - Outdoor,30,144.962548,-37.81354034
2014,432,West Melbourne (Residential),Seats - Indoor,50,144.9520393,-37.80775631
2017,208,Carlton,Seats - Indoor,35,144.9663778,-37.79685803
2012,57,Melbourne (CBD),Seats - Indoor,56,144.968248,-37.81251216
2020,773,Docklands,Seats - Indoor,60,144.9463561,-37.82488026
2015,786,Port Melbourne,Seats - Outdoor,40,144.920481,-37.82477016
2018,15,Melbourne (CBD),Seats - Indoor,18,144.9654844,-37.81710105
2023,618,East Melbourne,Seats - Outdoor,8,144.9848341,-37.81608793
2007,67,Melbourne (CBD),Seats - Indoor,145,144.9680042,-37.81132924
2021,347,North Melbourne,Seats - Indoor,60,144.9496139,-37.80114341
2022,904,Parkville,Seats - Indoor,70,144.9586811,-37.78398214
2020,931,Parkville,Seats - Indoor,200,144.9495471,-37.79372054
2021,61,Melbourne (CBD),Seats - Indoor,12,144.9542494,-37.81498784
2020,1108,Docklands,Seats - Indoor,35,144.9457646,-37.82205878
2019,303,North Melbourne,Seats - Indoor,58,144.9466961,-37.79358682
2010,81,Melbourne (CBD),Seats - Indoor,50,144.9518789,-37.81337023
2008,614,East Melbourne,Seats - Indoor,68,144.9840787,-37.81106468
2002,207,Carlton,Seats - Outdoor,20,144.9670887,-37.79818093
2024,76,Melbourne (CBD),Seats - Indoor,112,144.9657034,-37.810658
2021,803,Southbank,Seats - Indoor,72,144.9586598,-37.8231216
2010,362,North Melbourne,Seats - Indoor,16,144.9581484,-37.80444251
2015,267,Carlton,Seats - Indoor,42,144.9665747,-37.80530329
2022,32,Melbourne (CBD),Seats - Indoor,8,144.9568348,-37.81767359
2016,615,East Melbourne,Seats - Indoor,250,144.9841712,-37.81229729
2024,931,Parkville,Seats - Outdoor,34,144.9514321,-37.78427658
2024,410,West Melbourne (Residential),Seats - Indoor,100,144.9424169,-37.80671459
2003,812,Southbank,Seats - Indoor,2,144.9658538,-37.82222635
2012,53,Melbourne (CBD),Seats - Indoor,32,144.9594641,-37.81506553
2014,338,North Melbourne,Seats - Indoor,6,144.9418165,-37.80328528
2017,571,Kensington,Seats - Outdoor,8,144.9155212,-37.78257294
2018,85,Melbourne (CBD),Seats - Outdoor,10,144.9630189,-37.81073332
2014,114,Melbourne (CBD),Seats - Indoor,18,144.9600075,-37.80806541
2014,246,Carlton,Seats - Outdoor,24,144.9664856,-37.80156205
2008,369,North Melbourne,Seats - Indoor,159,144.9499557,-37.80287733
2017,54,Melbourne (CBD),Seats - Outdoor,16,144.9612664,-37.81398752
2017,115,Melbourne (CBD),Seats - Outdoor,70,144.9616126,-37.80752292
2004,14,Melbourne (CBD),Seats - Indoor,53,144.9632353,-37.81784899
2009,31,Melbourne (CBD),Seats - Outdoor,4,144.9543505,-37.81867545
2023,38,Melbourne (CBD),Seats - Outdoor,6,144.9727083,-37.81342593
2008,44,Melbourne (CBD),Seats - Outdoor,9,144.9617408,-37.81560551
2002,23,Melbourne (CBD),Seats - Indoor,70,144.9608775,-37.8174695
2018,17,Melbourne (CBD),Seats - Indoor,13,144.9720412,-37.81584246
2014,66,Melbourne (CBD),Seats - Indoor,80,144.9665431,-37.81169959
2017,18,Melbourne (CBD),Seats - Indoor,20,144.9728353,-37.8148555
2005,66,Melbourne (CBD),Seats - Indoor,90,144.9657799,-37.81206267
2022,47,Melbourne (CBD),Seats - Indoor,20,144.9701092,-37.81281454
2013,915,Parkville,Seats - Indoor,15,144.9575513,-37.79539648
2016,1109,Docklands,Seats - Indoor,110,144.941271,-37.81460673
2020,242,Carlton,Seats - Outdoor,30,144.961518,-37.80117842
2010,31,Melbourne (CBD),Seats - Indoor,16,144.9543505,-37.81867545
2021,246,Carlton,Seats - Indoor,15,144.9664107,-37.80186402
2014,618,East Melbourne,Seats - Indoor,51,144.9848341,-37.81608793
2012,787,Port Melbourne,Seats - Outdoor,20,144.9194618,-37.82904746
2024,33,Melbourne (CBD),Seats - Indoor,36,144.95955,-37.81660734
2020,1101,Docklands,Seats - Indoor,70,144.9541587,-37.82020557
2016,6,Melbourne (CBD),Seats - Outdoor,100,144.969927,-37.81784611
2012,773,Docklands,Seats - Indoor,35,144.943945,-37.82459351
2006,441,West Melbourne (Residential),Seats - Indoor,104,144.9491657,-37.8096538
2013,14,Melbourne (CBD),Seats - Indoor,36,144.9643537,-37.81807489
2006,915,Parkville,Seats - Indoor,9,144.9575608,-37.79539794
2011,38,Melbourne (CBD),Seats - Outdoor,12,144.9731836,-37.81260039
2021,724,Melbourne (Remainder),Seats - Indoor,12,144.9798191,-37.8455379
2006,206,Carlton,Seats - Indoor,100,144.9667267,-37.80019117
2020,619,East Melbourne,Seats - Indoor,50,144.9804557,-37.81296163
2019,655,East Melbourne,Seats - Indoor,42,144.9759275,-37.81642072
2022,1108,Docklands,Seats - Outdoor,16,144.9450661,-37.81970479
2011,759,Melbourne (Remainder),Seats - Outdoor,50,144.9775355,-37.83909862
2020,113,Melbourne (CBD),Seats - Indoor,10,144.9572055,-37.80765748
2014,804,Southbank,Seats - Outdoor,24,144.9523782,-37.82539976
2016,206,Carlton,Seats - Indoor,100,144.9666558,-37.8004333
2005,270,Parkville,Seats - Outdoor,8,144.9612563,-37.79739955
2011,254,Carlton,Seats - Indoor,100,144.9660865,-37.80384773
2010,786,Port Melbourne,Seats - Outdoor,12,144.920988,-37.82600955
2011,31,Melbourne (CBD),Seats - Indoor,16,144.9543505,-37.81867545
2021,57,Melbourne (CBD),Seats - Indoor,120,144.9691148,-37.81173945
2010,67,Melbourne (CBD),Seats - Indoor,70,144.9679947,-37.81132789
2010,42,Melbourne (CBD),Seats - Outdoor,16,144.9566688,-37.81651427
2024,710,Melbourne (Remainder),Seats - Indoor,30,144.9757194,-37.83548357
2017,644,East Melbourne,Seats - Indoor,200,144.973619,-37.80849653
2017,216,Carlton,Seats - Outdoor,12,144.9692679,-37.79777639
2017,62,Melbourne (CBD),Seats - Outdoor,9,144.9563672,-37.81477885
2019,1109,Docklands,Seats - Indoor,32,144.9401994,-37.81427742
2017,753,Southbank,Seats - Outdoor,60,144.9671147,-37.82038777
2017,739,Southbank,Seats - Indoor,126,144.9677949,-37.82420378
2023,1110,Docklands,Seats - Outdoor,16,144.9411967,-37.81308482
2012,224,Carlton,Seats - Indoor,55,144.9708841,-37.79695652
2016,34,Melbourne (CBD),Seats - Indoor,16,144.9635071,-37.81592313
2016,252,Carlton,Seats - Outdoor,20,144.9667542,-37.8035945
2009,663,Melbourne (Remainder),Seats - Outdoor,16,144.9738252,-37.81890664
2002,315,North Melbourne,Seats - Indoor,50,144.9413173,-37.79905412
2017,1108,Docklands,Seats - Outdoor,30,144.9446836,-37.81993681
2019,57,Melbourne (CBD),Seats - Indoor,140,144.9692645,-37.81207094
2009,22,Melbourne (CBD),Seats - Indoor,180,144.957551,-37.8186626
2020,37,Melbourne (CBD),Seats - Indoor,200,144.9697676,-37.8136886
2004,547,Kensington,Seats - Outdoor,24,144.9256136,-37.79224051
2010,101,West Melbourne (Residential),Seats - Indoor,30,144.9511755,-37.81189101
2019,64,Melbourne (CBD),Seats - Indoor,28,144.9622831,-37.81321386
2015,804,Southbank,Seats - Outdoor,72,144.9503336,-37.82409303
2024,1110,Docklands,Seats - Indoor,10,144.9378574,-37.8131707
2022,1108,Docklands,Seats - Indoor,30,144.943969,-37.81927362
2014,91,West Melbourne (Residential),Seats - Outdoor,12,144.9532514,-37.81166257
2004,346,North Melbourne,Seats - Indoor,35,144.9484853,-37.80271407
2013,2524,Kensington,Seats - Outdoor,12,144.9299293,-37.79360999
2021,64,Melbourne (CBD),Seats - Outdoor,60,144.9611673,-37.81318202
2013,114,Melbourne (CBD),Seats - Indoor,136,144.9595526,-37.80735265
2016,131,Docklands,Seats - Indoor,130,144.9550962,-37.82272182
2012,803,Southbank,Seats - Indoor,170,144.9586602,-37.82312164
2018,1103,Docklands,Seats - Outdoor,16,144.9475776,-37.81656592
2015,547,Kensington,Seats - Outdoor,17,144.9256097,-37.79223674
2022,503,Kensington,Seats - Outdoor,12,144.9303643,-37.79956857
2018,114,Melbourne (CBD),Seats - Indoor,18,144.9600075,-37.80806541
2007,6,Melbourne (CBD),Seats - Indoor,60,144.969927,-37.81784611
2022,42,Melbourne (CBD),Seats - Outdoor,35,144.9578132,-37.81636534
