Census year,Block ID,CLUE small area,Seating type,Number of seats,Longitude,Latitude
2013,95,Melbourne (CBD),Seats - Indoor,154,144.9634198,-37.80945732
2023,52,Melbourne (CBD),Seats - Outdoor,30,144.9573923,-37.81531863
2007,11,Melbourne (CBD),Seats - Indoor,70,144.9551619,-37.8202062
2002,915,Parkville,Seats - Indoor,9,144.9575608,-37.79539794
2017,266,Carlton,Seats - Outdoor,6,144.9655262,-37.80671734
2024,67,Melbourne (CBD),Seats - Indoor,18,144.9694844,-37.81044353
2014,785,Port Melbourne,Seats - Indoor,90,144.9052161,-37.82483593
2020,1101,Docklands,Seats - Outdoor,9,144.951187,-37.81501701
2006,97,Melbourne (CBD),Seats - Indoor,75,144.9680361,-37.80786177
2014,440,West Melbourne (Residential),Seats - Outdoor,4,144.9516854,-37.80886049
2017,204,Carlton,Seats - Indoor,50,144.965164,-37.79780844
2020,81,Melbourne (CBD),Seats - Indoor,150,144.9528962,-37.81327283
2014,97,Melbourne (CBD),Seats - Outdoor,26,144.9664575,-37.80822377
2002,38,Melbourne (CBD),Seats - Indoor,20,144.9730331,-37.81280835
2020,66,Melbourne (CBD),Seats - Indoor,100,144.96713,-37.8118553
2020,432,West Melbourne (Residential),Seats - Indoor,26,144.9525725,-37.80739775
2015,103,Melbourne (CBD),Seats - Indoor,6,144.9566627,-37.80967009
2011,205,Carlton,Seats - Outdoor,16,144.9647653,-37.79899938
2022,570,Kensington,Seats - Indoor,100,144.9126962,-37.78909025
2022,441,West Melbourne (Residential),Seats - Outdoor,6,144.948451,-37.81025507
2018,52,Melbourne (CBD),Seats - Outdoor,50,144.9573923,-37.81531863
2020,1101,Docklands,Seats - Indoor,48,144.951187,-37.81501701
2016,710,Melbourne (Remainder),Seats - Outdoor,24,144.9762193,-37.83627605
2004,214,Carlton,Seats - Indoor,60,144.9678221,-37.79694699
2013,1109,Docklands,Seats - Indoor,60,144.9421391,-37.81434525
2015,252,Carlton,Seats - Indoor,100,144.9666993,-37.80443778
2015,97,Melbourne (CBD),Seats - Outdoor,12,144.9681732,-37.80752222
2022,15,Melbourne (CBD),Seats - Indoor,8,144.9654844,-37.81710105
2003,353,North Melbourne,Seats - Outdoor,8,144.9484333,-37.79508461
2002,64,Melbourne (CBD),Seats - Indoor,80,144.9611768,-37.81318338
2010,1101,Docklands,Seats - Indoor,24,144.9523381,-37.81815197
2012,1006,West Melbourne (Industrial),Seats - Indoor,22,144.9231564,-37.80663448
2020,260,Carlton,Seats - Indoor,8,144.9584955,-37.802788
2023,104,Melbourne (CBD),Seats - Indoor,25,144.9585116,-37.80897917
2018,91,West Melbourne (Residential),Seats - Indoor,18,144.9532514,-37.81166257
2024,15,Melbourne (CBD),Seats - Indoor,120,144.967023,-37.817356
2003,360,North Melbourne,Seats - Indoor,200,144.9563886,-37.80569825
2012,53,Melbourne (CBD),Seats - Indoor,60,144.9587607,-37.81494883
2011,52,Melbourne (CBD),Seats - Outdoor,18,144.9576141,-37.81525715
2021,245,Carlton,Seats - Indoor,24,144.9643119,-37.80188571
2023,14,Melbourne (CBD),Seats - Outdoor,20,144.963491,-37.81775826
2016,239,Carlton,Seats - Indoor,60,144.9583382,-37.8016968
2015,206,Carlton,Seats - Outdoor,20,144.9666464,-37.80043187
2024,790,Port Melbourne,Seats - Indoor,21,144.90956,-37.82673498
2011,1110,Docklands,Seats - Outdoor,15,144.9378298,-37.81315034
2013,1108,Docklands,Seats - Indoor,80,144.9451224,-37.81888389
2018,14,Melbourne (CBD),Seats - Indoor,36,144.9624375,-37.81798973
2004,57,Melbourne (CBD),Seats - Indoor,70,144.9693494,-37.81146361
2020,1105,Docklands,Seats - Indoor,19,144.9500913,-37.82068417
2013,54,Melbourne (CBD),Seats - Indoor,16,144.9617562,-37.81416355
2024,644,East Melbourne,Seats - Outdoor,24,144.973619,-37.80849653
2015,12,Melbourne (CBD),Seats - Outdoor,24,144.9591876,-37.8192157
2019,252,Carlton,Seats - Indoor,20,144.9666993,-37.80443778
2010,35,Melbourne (CBD),Seats - Indoor,21,144.9643901,-37.81526826
2017,651,East Melbourne,Seats - Indoor,70,144.9757456,-37.81162322
2003,54,Melbourne (CBD),Seats - Indoor,60,144.9617657,-37.81416491
2020,44,Melbourne (CBD),Seats - Outdoor,18,144.9617411,-37.81560573
2008,51,Melbourne (CBD),Seats - Indoor,75,144.9540371,-37.81626998
2018,571,Kensington,Seats - Indoor,32,144.9155212,-37.78257294
2014,652,East Melbourne,Seats - Outdoor,80,144.9755868,-37.81264492
2008,219,Carlton,Seats - Indoor,80,144.969881,-37.79918387
2020,266,Carlton,Seats - Indoor,20,144.9653525,-37.80670091
2010,77,Melbourne (CBD),Seats - Indoor,250,144.9672247,-37.8102551
2009,345,North Melbourne,Seats - Outdoor,34,144.9489068,-37.80414139
2024,55,Melbourne (CBD),Seats - Indoor,40,144.9643984,-37.81330938
2019,759,Melbourne (Remainder),Seats - Outdoor,70,144.977677,-37.83949218
2014,377,North Melbourne,Seats - Outdoor,19,144.953035,-37.8008985
2010,813,Southbank,Seats - Indoor,68,144.9673119,-37.82201714
